size,miliseconds
19189,643244
19189,574579
19189,542133
19189,785958
19189,686729
19189,461348
19189,540804
19189,581236
19189,665660
19189,605589
19189,694615
19189,649979
19189,586877
19189,671068
19189,669444
19189,812616
19189,451771
19189,510331
19189,570980
19189,498695
19189,191327
19189,995246
19189,627157
19189,827862
19189,636562
19189,520173
19189,637214
19189,648751
19189,658188
19189,160567
19189,822536
19189,580758
19189,666681
19189,313506
19189,750153
19189,547267
19189,564018
19189,426182
19189,672938
19189,682826
19189,602765
19189,543171
19189,680630
19189,732286
19189,499454
19189,715469
19189,502801
19189,660072
19189,775797
19189,789483
19189,777373
19189,776785
19189,630171
19189,795267
19189,627135
19189,496599
19189,344530
19189,636580
19189,501203
19189,654494
19189,503925
19189,803145
19189,704404
19189,541891
19189,371092
19189,824872
19189,767045
19189,603077
19189,417130
19189,794710
19189,299555
19189,88224
19189,621044
19189,827174
19189,530822
19189,732707
19189,488654
19189,702182
19109,397195
19189,783020
19189,441938
19189,616701
19189,405116
19189,406900
19189,489938
19189,526162
19189,396860
19189,488169
19189,847802
19189,363783
19189,652733
19189,762870
19189,484026
19189,555532
19189,664838
19189,542015
19189,633813
19189,596877
19189,391626
19189,585330
19189,553163
19189,865716
19189,720690
19189,358249
19189,610120
19189,697840
19189,505158
19189,474617
19189,383419
19189,455658
19189,636956
19189,734923
19189,709625
19189,638494
19189,414697
19189,658603
19189,624461
19189,576996
19189,415955
19189,281513
19189,557843
19189,610457
19189,662118
19189,775683
19189,548495
19189,576939
19189,418771
19189,388468
19189,654623
19189,348464
19189,510872
19189,450641
19189,451368
19189,611564
19189,832671
19189,674075
19189,748470
19189,604368
19189,631618
19189,819206
19189,448506
19189,540786
19189,715930
19189,677897
19189,446685
19189,481519
19189,630513
19189,498996
19189,641948
19189,244701
19189,683536
19189,571001
19189,587240
19189,571336
19189,637740
19189,632597
19189,554452
19189,721829
19189,879749
19189,724931
19189,729585
19189,595927
19189,850721
19189,821049
19189,322719
19189,759814
19189,565640
19189,821054
19189,536158
19189,644783
19189,841828
19189,576621
19189,526838
19189,585226
19189,499314
19189,399584
19189,521212
19189,630342
19189,660403
19189,720890
19189,965403
19189,812626
19189,487409
19189,714079
19189,432377
19189,618848
19189,247335
19189,558897
19189,549461
19189,698957
19189,448581
19189,537946
19189,547433
19189,627769
19189,431343
19189,549835
19189,584733
19189,612180
19189,487150
19189,299075
19189,549225
19189,531012
19189,10031
19189,774065
19189,764804
19189,354143
19189,608178
19189,742152
19189,464214
19189,522897
19189,517532
19189,546077
19189,491365
19189,816531
19189,797505
19189,545277
19189,373729
19189,407708
19189,570752
19189,590609
19189,715114
19189,705421
19189,577941
19189,824395
19189,260516
19189,647314
19189,751492
19189,448637
19189,477986
19189,640074
19189,457464
19189,567495
19189,499015
19189,535276
19189,560921
19189,458142
19189,405906
19189,208651
19189,539863
19189,378737
19189,439304
19189,599963
19189,418689
19189,632044
19189,546568
19189,825569
19189,354097
19189,665549
19189,544167
19189,840772
19189,852094
19189,750445
19189,604290
19189,633203
19189,538744
19189,462713
19189,554694
19189,580494
19189,564201
19189,487163
19189,443790
19189,658883
19189,669145
19189,343932
19189,772994
19189,968768
19189,740312
19189,471185
19189,332399
19189,352375
19189,510641
19189,419783
19189,80593
19189,888385
19189,647713
19189,733533
19189,446405
19081,589351
19189,427630
19189,349972
19189,411157
19189,526020
19189,931588
19189,367946
19189,695934
19189,401953
19189,124017
19189,530651
19189,433729
19189,700893
19189,543881
19189,568486
19189,508222
19189,585526
19189,297506
19189,224538
19189,635688
19189,829595
19189,532020
19189,554625
19189,739678
19189,732048
19189,570127
19189,594675
19189,498354
19189,445487
19189,648463
19189,709391
19189,454654
19189,323991
19189,488898
19189,706026
19189,650329
19189,600992
19189,682892
19189,709419
19189,567948
19189,254139
19189,662046
19189,735197
19189,772539
19189,501740
19189,408006
19189,644740
19189,398174
19189,543192
19189,378137
19189,566314
19189,457529
19189,688372
19189,613177
19189,603676
19189,801076
19189,615987
19189,699653
19189,695705
19189,627694
19189,685490
19189,684455
19189,770952
19189,762289
19189,867794
19189,716863
19189,597218
19189,564509
19189,757574
19189,571302
19189,453389
19189,500929
19189,309468
19189,561327
19189,749663
19189,705983
19189,536803
19189,555783
19189,850442
19189,529986
19189,305117
19189,753844
19189,719830
19189,740489
19189,548056
19189,663669
19189,515921
19189,510452
19189,681343
19189,555063
19189,509127
19189,666364
19189,633418
19189,188318
19189,389791
19189,825299
19189,475127
19189,429361
19189,706566
19189,512400
19189,781396
19189,417716
19189,451159
19189,570506
19189,376707
19189,450161
19189,707641
19189,756643
19189,894045
19189,918560
19189,439593
19189,534587
19189,742906
19189,251050
19189,406005
19189,558611
19189,734361
19189,633594
19189,277068
19189,528825
19189,550796
19189,748574
19189,491421
19189,383582
19189,667339
19189,588622
19189,792410
19189,681309
19189,640313
19189,747203
19189,430132
19189,441252
19189,122497
19189,157710
19189,629442
19189,523913
19189,525909
19189,664283
19189,488535
19189,631240
19189,696160
19189,383403
19189,461740
19189,333420
19189,738857
19189,665771
19189,458095
19189,629613
19189,618809
19189,492687
19189,599993
19189,534940
19189,575302
19189,774685
19189,646937
19189,112620
19189,591973
19189,779557
19189,611947
19189,341568
19189,425950
19189,669898
19189,512160
19189,554267
19189,557067
19189,338516
19189,640634
19189,702824
19189,475941
19189,583953
19189,549514
19189,568730
19189,392100
19189,692674
19189,417963
19189,709096
19189,373814
19189,865532
19189,675578
19189,508470
19189,392989
19189,597965
19189,632029
19189,665760
19189,588004
19189,582234
19189,389837
19189,675169
19189,447240
19189,687856
19189,406626
19189,591958
19189,295017
19189,568944
19189,549191
19189,571302
19189,674597
19189,527479
19189,581599
19189,557284
19189,547457
19189,815238
19189,529983
19189,19428
19189,575826
19189,744906
19189,468279
19189,640863
19189,415971
19189,923775
19189,576059
19189,722464
19189,689304
19189,660933
19189,796682
19189,815262
19189,688568
19189,634086
19189,589576
19189,323614
19189,321421
19189,646101
19189,681832
